url,type,domain,tld,owner,e_count,has_A_and_T
br-icloud.com.br,phishing,br-icloud.com.br,com.br,Toweb Brasil LTDA EPP,0,false
mp3raid.com/music/krizz_kaliko.html,benign,mp3raid.com,com,"GoDaddy.com, LLC",0,false
bopsecrets.org/rexroth/cr/1.htm,benign,bopsecrets.org,org,REDACTED,2,false
http://www.garage-pirenne.be/index.php?option=com_content&view=article&id=70&vsig70_0=15,defacement,garage-pirenne.be,be,Above.com Domain Privacy,4,false
http://adventure-nicaragua.net/index.php?option=com_mailto&tmpl=component&link=aHR0cDovL2FkdmVudHVyZS1uaWNhcmFndWEubmV0L2luZGV4LnBocD9vcHRpb249Y29tX2NvbnRlbnQmdmlldz1hcnRpY2xlJmlkPTQ3OmFib3V0JmNhdGlkPTM2OmRlbW8tYXJ0aWNsZXMmSXRlbWlkPTU0,defacement,adventure-nicaragua.net,net,Above.com Pty Ltd.,3,true
http://buzzfil.net/m/show-art/ils-etaient-loin-de-s-imaginer-que-le-hibou-allait-faire-ceci-quand-ils-filmaient-2.html,benign,buzzfil.net,net,REDACTED FOR PRIVACY,1,false
espn.go.com/nba/player/_/id/3457/brandon-rush,benign,go.com,com,"CSC Corporate Domains, Inc.",0,false
yourbittorrent.com/?q=anthony-hamilton-soulife,benign,yourbittorrent.com,com,Whois Privacy Corp.,1,false
http://www.pashminaonline.com/pure-pashminas,defacement,pashminaonline.com,com,REDACTED FOR PRIVACY,1,false
allmusic.com/album/crazy-from-the-heat-r16990,benign,allmusic.com,com,"All Media Network, LLC",0,false
corporationwiki.com/Ohio/Columbus/frank-s-benson-P3333917.aspx,benign,corporationwiki.com,com,"GoDaddy.com, LLC",0,true
http://www.ikenmijnkunst.nl/index.php/exposities/exposities-2006,defacement,ikenmijnkunst.nl,nl,null,1,false
myspace.com/video/vid/30602581,benign,myspace.com,com,"GoDaddy.com, LLC",1,false
http://www.lebensmittel-ueberwachung.de/index.php/aktuelles.1,defacement,lebensmittel-ueberwachung.de,de,null,6,true
http://www.szabadmunkaero.hu/cimoldal.html?start=12,defacement,szabadmunkaero.hu,hu,null,1,false
http://larcadelcarnevale.com/catalogo/palloncini,defacement,larcadelcarnevale.com,com,null,3,false
quickfacts.census.gov/qfd/maps/iowa_map.html,benign,census.gov,gov,REDACTED FOR PRIVACY,1,false
nugget.ca/ArticleDisplay.aspx?archive=true&e=1160966,benign,nugget.ca,ca,Postmedia Network Inc.,1,true
