url,type,domain,severity_rank
http://9779.info/%E5%B9%BC%E5%84%BF%E5%9B%AD%E7%9A%B1%E7%BA%B9%E7%BA%B8%E7%B2%98%E8%B4%B4%E7%94%BB/,malware,9779.info,High
http://www.824555.com/app/member/SportOption.php?uid=guest&langx=gb,malware,824555.com,High
http://ak.imgfarm.com/images/nocache/vicinio/installers/205320000.S10570.1/507981-150710122501-S10570.1/VideoDownloadConvertAuto.exe_0,malware,imgfarm.com,High
http://9779.info/%E5%84%BF%E7%AB%A5%E7%AB%8B%E4%BD%93%E7%BA%B8%E8%B4%B4%E7%94%BB/,malware,9779.info,High
http://www.0068555.com/cl/?module=System&method=LiveTop&args=livehall,malware,0068555.com,High
http://9779.info/%E6%A0%91%E5%8F%B6%E7%B2%98%E8%B4%B4%E7%94%BB/,malware,9779.info,High
http://www.easycaptchas.com/2F3F28039730C12A5C112FE0D5FEFA2E.captcha?width=132&height=42,malware,easycaptchas.com,High
http://9779.info/%E5%8F%A4%E4%BB%A3%E4%BA%8C%E5%8D%81%E5%9B%9B%E5%AD%9D%E5%B8%83%E8%B4%B4%E7%94%BB/,malware,9779.info,High
ru-net.cv.ua/wp-content/config/file.php,malware,ru-net.cv.ua,High
http://chinacxyy.com/piccodejs-000.asp?lm2=191&x=3&y=2&w=90&h=63&open=1&n=10&tj=0,malware,chinacxyy.com,High
proplast.co.nz,malware,proplast.co.nz,High
http://9779.info/%E6%8A%98%E7%BA%B8%E6%89%87%E5%AD%90%E6%8B%BC%E8%B4%B4%E7%94%BB/,malware,9779.info,High
http://9779.info/%E4%BA%94%E8%B0%B7%E6%9D%82%E7%B2%AE%E4%BA%BA%E7%89%A9%E7%B2%98%E8%B4%B4%E7%94%BB/,malware,9779.info,High
http://portal.dddgaming.com/docs/rules/15022/cn/game_cn.html?amluMjAxNQ%3D%3D,malware,dddgaming.com,High
http://haishundl.com/a/qinpengqipaiguanfangxiazai/20131019/263.html,malware,haishundl.com,High
http://9779.info/%E7%AE%80%E5%8D%95%E6%8A%98%E7%BA%B8%E7%B2%98%E8%B4%B4%E7%94%BB/,malware,9779.info,High
http://9779.info/%E5%8D%8A%E7%AB%8B%E4%BD%93%E5%B9%BC%E5%84%BF%E5%89%AA%E8%B4%B4%E7%94%BB/,malware,9779.info,High
http://9779.info/%E5%B9%BC%E5%84%BF%E7%B2%BD%E5%8F%B6%E8%B4%B4%E7%94%BB/,malware,9779.info,High
http://9779.info/%E9%A3%9E%E6%9C%BA%E6%A0%91%E5%8F%B6%E7%B2%98%E8%B4%B4%E7%94%BB/,malware,9779.info,High
http://grasslandhotel.com.vn/index.php/component/djcatalog2/items/6-services,malware,grasslandhotel.com.vn,High
http://9779.info/%E5%85%AD%E4%B8%80%E5%BF%AB%E4%B9%90%E7%B2%98%E8%B4%B4%E7%94%BB/,malware,9779.info,High
http://9779.info/%E4%BA%94%E8%B0%B7%E6%9D%82%E7%B2%AE%E4%BA%BA%E7%89%A9%E7%B2%98%E8%B4%B4%E7%94%BB/,malware,9779.info,High
http://zoetekroon.nl/wp-content/themes/simplo/js/jquery-1.4.2.min.js,malware,zoetekroon.nl,High
http://9779.info/%E6%AF%9B%E7%BA%BF%E8%B4%B4%E7%94%BB%20%E5%9C%BA%E6%99%AF%E5%9B%BE/,malware,9779.info,High
http://3cf.ru/2015/07/20/cb-otozval-licenziu-y-gelendjik-banka/,malware,3cf.ru,High
trtsport.cz,malware,trtsport.cz,High
http://9779.info/%E5%B0%91%E5%84%BF%E7%A7%8D%E5%AD%90%E7%B2%98%E8%B4%B4%E7%94%BB/,malware,9779.info,High
http://style.org.hc360.com/css/detail/mysite/siteconfig/pro_control.css,malware,hc360.com,High
http://img010.hc360.cn/g1/M01/41/73/wKhQMVHabJKEHondAAAAAFmPcEE181.jpg,malware,hc360.cn,High
http://img14.360buyimg.com/n12/g12/M00/07/06/rBEQYVGV9NMIAAAAAAC3mn17ud8AABZ_wDjtTAAALey000.jpg%21q70.jpg,malware,360buyimg.com,High
http://9779.info/%E8%9D%8C%E8%9A%AA%E6%89%BE%E5%A6%88%E5%A6%88%E5%89%AA%E8%B4%B4%E7%94%BB/,malware,9779.info,High
http://9779.info/%E6%89%8B%E5%B7%A5%E6%B2%BE%E8%B4%B4%E7%94%BB%E5%9B%BE%E7%89%87/,malware,9779.info,High
http://www.newstudy.net/community/Web_nMngr.aspx?acaidx=0&board_idx=360&pn=1&sflag=1&mflag=NOT&where=&keyword=,malware,newstudy.net,High
microencapsulation.readmyweather.com,malware,readmyweather.com,High
http://www.711100.com/app/member/SportOption.php?uid=guest&langx=gb,malware,711100.com,High
http://www.vilagnomad.com/tables/payday-loans-direct-lenders-only.php,malware,vilagnomad.com,High
http://schertzauto.com/wp-content/plugins/gravityforms/css/formsmain.min.css?ver=1.9.11,malware,schertzauto.com,High
xo3fhvm5lcvzy92q.download,malware,xo3fhvm5lcvzy92q.download,High
http://portal.dddgaming.com/docs/rules/15022/cn/game_cn.html?amluMjAxNQ%3D%3D,malware,dddgaming.com,High
http://www.wu8188.com/cl/tpl/five-star/ver1/css/five-star.css?v=ver15.32,malware,wu8188.com,High
http://schertzauto.com/wp-content/themes/NAPA%20AC%202014%20S/genericons/genericons.css?ver=3.0.2,malware,schertzauto.com,High
http://www.bhxx.net/xxgl/UploadFiles_7485/201304/2013042315380148.jpg,malware,bhxx.net,High
http://grasslandhotel.com.vn/index.php/rooms/item/all/18-airticketservices,malware,grasslandhotel.com.vn,High
http://www.garage-pirenne.be/index.php?option=com_content&view=article&id=70&vsig70_0=15,defacement,garage-pirenne.be,Medium High
http://www.ghostwriting.de/rueckruf,defacement,ghostwriting.de,Medium High
http://adventure-nicaragua.net/index.php?option=com_mailto&tmpl=component&link=aHR0cDovL2FkdmVudHVyZS1uaWNhcmFndWEubmV0L2luZGV4LnBocD9vcHRpb249Y29tX2NvbnRlbnQmdmlldz1hcnRpY2xlJmlkPTQ3OmFib3V0JmNhdGlkPTM2OmRlbW8tYXJ0aWNsZXMmSXRlbWlkPTU0,defacement,adventure-nicaragua.net,Medium High
http://papillon-vole.fr/index.php?page=shop.product_details&flypage=flypage.tpl&product_id=30&category_id=2&option=com_virtuemart&Itemid=22,defacement,papillon-vole.fr,Medium High
http://www.pashminaonline.com/pure-pashminas,defacement,pashminaonline.com,Medium High
http://www.ijsbaanapeldoorn.nl/fotos-videos.html?vsig4_0=0&vsig4_1=0,defacement,ijsbaanapeldoorn.nl,Medium High
http://www.ikenmijnkunst.nl/index.php/exposities/exposities-2006,defacement,ikenmijnkunst.nl,Medium High
http://www.aquamarinadivingtenerife.com/en.1,defacement,aquamarinadivingtenerife.com,Medium High
http://www.lebensmittel-ueberwachung.de/index.php/aktuelles.1,defacement,lebensmittel-ueberwachung.de,Medium High
http://www.hmaca.com/winnipeg-accounting-blog/tag/winnipeg-accpac-certified-consultant/index.html,defacement,hmaca.com,Medium High
http://www.szabadmunkaero.hu/cimoldal.html?start=12,defacement,szabadmunkaero.hu,Medium High
http://gazomer.com/vodonagrevateli/vodonagrevateli-nak-type/36-titan-rfb-50f,defacement,gazomer.com,Medium High
http://larcadelcarnevale.com/catalogo/palloncini,defacement,larcadelcarnevale.com,Medium High
http://www.dynamicstrategies.com.au/dynamic-strategies,defacement,dynamicstrategies.com.au,Medium High
http://www.vnic.co/khach-hang.html,defacement,vnic.co,Medium High
http://www.connexion3.gr/el/news/32-neo-site-amesotis,defacement,connexion3.gr,Medium High
http://peluqueriadeautor.com/index.php?option=com_virtuemart&page=shop.browse&category_id=31&Itemid=70,defacement,peluqueriadeautor.com,Medium High
http://www.duplexindustrial.com.au/salla-max.html,defacement,duplexindustrial.com.au,Medium High
http://www.raci.it/component/user/reset.html,defacement,raci.it,Medium High
http://mueblesjulianjimenez.es/index.php?page=shop.browse&category_id=3&option=com_virtuemart&Itemid=7,defacement,mueblesjulianjimenez.es,Medium High
http://earth-sure.com/industrial-tech/everlast-impact-resistant-dumpster-enclosure,defacement,earth-sure.com,Medium High
http://www.autoursdurock.info/index.php?option=com_content&view=article&id=106&Itemid=229,defacement,autoursdurock.info,Medium High
http://www.newtec.ac.uk/courses/health-and-social-care/level-2-diploma-in-health-a-social-care-.html,defacement,newtec.ac.uk,Medium High
http://www.gypsyspirit.eu/cz/vyhlaovatele-a-partnei,defacement,gypsyspirit.eu,Medium High
http://www.kingsmillshotel.com/spring/mothers-day,defacement,kingsmillshotel.com,Medium High
http://batutik.com.ua/produkcziya/batutinaduvnie/23-batut.html,defacement,batutik.com.ua,Medium High
http://www.approvi.com.br/ck.htm,defacement,approvi.com.br,Medium High
http://www.chromashop.fr/index.php/actualites?start=12,defacement,chromashop.fr,Medium High
http://www.shaborooz.ir/index.php?view=article&catid=7:1390-01-27-09-09-55&id=23:1390-04-12-08-07-33&tmpl=component&print=1&layout=default&page=&option=com_content&Itemid=2,defacement,shaborooz.ir,Medium High
http://www.geothermalanywhere.com/news/113-geothermal-anywhere-among-top-8-cleantech-vcs-opportunities-in-europe-selected-from-850-startups.html?lang=en,defacement,geothermalanywhere.com,Medium High
http://www.juventudelirica.com.br/index.html,defacement,juventudelirica.com.br,Medium High
http://www.italy-itf.com/index.php?option=com_phocagallery&view=detail&catid=1:home-page-collection&id=25:01-10-2010-apertura-stagione-itf-italia&tmpl=component&Itemid=93,defacement,italy-itf.com,Medium High
http://www.myenrg.com/southwest/9-texas,defacement,myenrg.com,Medium High
http://www.mtb-bad-harzburg.de/index.php/bilder,defacement,mtb-bad-harzburg.de,Medium High
http://www.musimagen.com/lista_socios.php?letra=\303%91,defacement,musimagen.com,Medium High
http://www.centerimoveis.com.br/servicos/locacao-de-imoveis/imprimir.html,defacement,centerimoveis.com.br,Medium High
http://www.pn-wuppertal.de/links/2-linkseite/5-httpwwwkrebshilfede,defacement,pn-wuppertal.de,Medium High
http://www.masrealestate.it/index.php?option=com_mailto&tmpl=component&link=aHR0cDovL3d3dy5tYXNyZWFsZXN0YXRlLml0L2luZGV4LnBocD9vcHRpb249Y29tX2NvbnRlbnQmdmlldz1hcnRpY2xlJmlkPTclM0Fjb25zdWxlbnphJkl0ZW1pZD04Jmxhbmc9ZW4=&lang=en,defacement,masrealestate.it,Medium High
http://asociacionkaribu.org/index.php/servicios/centro-jambo,defacement,asociacionkaribu.org,Medium High
http://www.sementimenzo.it/dove-siamo/2.html,defacement,sementimenzo.it,Medium High
